review_clean,sentiment_vader,sentiment_roberta,confidence_roberta,source_clean
Pumdi kot view tower (Lord Shiva statue) 108feel tall Nepal's tallest statue.,Neutre,Positif,0.5394,Réel
🥰🥰Amazing place of nepal 🥰♥️❤️,Neutre,Positif,0.9897,Réel
Tasty dal bhat with jumala rice. Organic home cooked food.,Neutre,Positif,0.8877,Réel
"Lakeside Pokhara is a must visit place, not only in Pokhara but in all of Nepal.",Neutre,Positif,0.9555,Réel
Somehow got the impression that the people resented our being there. The reminder of being non Nepalese was not in good taste. The lake side is awesome and loved it.,Positif,Négatif,0.6382,Réel
"..if you ignore crowd n busy ppl around and take a walk along lakeside, its always healing, relaxing n peaceful,... if your in Nepal, a visit to Pokhara within it lakeside is a no miss 👍🤗😇❤",Négatif,Positif,0.951,Réel
Lake is calling me again 😄,Neutre,Positif,0.9104,Réel
"Need huge improvement I. boating services. The local boaters refuse a small trip frequently. No matter what they should respect customers. No lake-No lakeside, still need a lot to do for sustainably about a lake.⁹",Positif,Négatif,0.8274,Réel
"Lake maintained well,clean. Many options for boating.",Neutre,Positif,0.8032,Réel
♥️♥️😌,Neutre,Positif,0.9603,Réel
Nepal is costlier than India.... Don't even think ki kam m pay ho jayegi.... And please take loads of cash and keep a good amount of that in safe....coz it's almost always seen that people spend all their money and then roam around ATM in vain... But if you have a global card look for standard chartered ATM...,Positif,Négatif,0.5668,Réel
"You can view fewa lake with mesmerizing Machhapuchre mountain, hills and much more",Neutre,Positif,0.8684,Réel
"It's ok, but really annoyed boatman, first they claim you need a lifevest, but on return it is hard to get a ride and you are not offered one. Views are amazing",Positif,Négatif,0.7605,Réel
"This place in Pokhara, Nepal never fail to impress me. Everytime I go there I have a unique story to tell. Simply stroll on the banks of Phewa lake in the evening and the stress is relived. The Bank has been well managed now with bunch of …",Négatif,Positif,0.9758,Réel
Quit place and nice view. Here transportation is very high. Everyone should be very careful to take a taxi.,Positif,Neutre,0.4501,Réel
Best place to chill in pokhara as well as main attraction one should be aware of wind and storm whic may cause wave in lake . Donot try your boat to sail if the climate is windy,Positif,Neutre,0.5691,Réel
"It's imaging place most of them American ,European, Indian, Bangladeshi people are visiting this place.In time evening many people are gathering besides lake side .if you rent any board all day long ,you must be pay 1000 Nepali rupi.without life jackets.per price life jacket 10 rupi.",Négatif,Neutre,0.8088,Réel
"Peace, clean and not poluted area of nepal.",Positif,Neutre,0.546,Réel
Best to fly 2 seater plane and helicopter and boating,Positif,Neutre,0.6471,Réel
Lake is clean.There is a temple which u can visit by boat.There is lake side shopping available.,Neutre,Positif,0.8057,Réel
If you think that you are so comfortable visiting this place you can be sure that it has a universal aspect that makes you feel comfortable. If you are a bit annoyed you must search first in your mind if there is anything that bar your …,Positif,Neutre,0.5123,Réel
I never get enough from this place Even after 7 time come here Always want come again,Positif,Négatif,0.611,Réel
Such a chill place,Neutre,Positif,0.9136,Réel
A walk by the lake in the evening was really refreshing after a long journey from Kathmandu to Pokhara. The lakeside was full of shops of artifacts and traditional clothes and trekking gear. Tourists were roaming around. Soft music from …,Neutre,Positif,0.9314,Réel
It was quite a nice experience. It was cloudy & rainy from 2 pm onwards so missed the sunset.,Neutre,Positif,0.9255,Réel
Nice place ! But Dirty fewa lake ! Need to clean up fewa lake and lakeside !,Positif,Négatif,0.7931,Réel
What this place has is nothing sort of amazing!!! Pokhara lakeside is my happy land and with its amazing ambience it is surreal.,Négatif,Positif,0.9865,Réel
Pokhara is a must see while in Nepal,Neutre,Positif,0.91,Réel
Spectacular views... Willing to go again ❤️,Neutre,Positif,0.9891,Réel
PLEASE GO on december when having cold climate,Positif,Neutre,0.5928,Réel
It is one of the famous tourist destionation of nepal lies at the centre part.,Négatif,Neutre,0.7378,Réel
Must see while in Pokhara.,Neutre,Positif,0.8758,Réel
Nothing better than a relaxing cruise on Phewa Lake under the watchful gaze of the Annapurna mountains 🤗,Négatif,Positif,0.9796,Réel
Peaceful place to visit although it can get crowed. There is a persistent smog that prevent you from seeing the natural beauty of the place.,Positif,Neutre,0.4301,Réel
A slice of my soulscape... Served with icy minty toppings n other assortments on a colourful platter.... Can never get enough of it... No matter how many times I visit here or even countless months that I spend here.,Négatif,Positif,0.9301,Réel
😍awesome place.... Everyone has to love...,Neutre,Positif,0.9859,Réel
Very stylish area. Phuket style shopping experience,Neutre,Positif,0.96,Réel
“Pokhara has a magical serenity that is not found in any other place!”,Neutre,Positif,0.9707,Réel
A peaceful place at the morning but evening a very busy place.,Positif,Neutre,0.5023,Réel
A peaceful place at the morning but evening a very busy place.,Positif,Neutre,0.5023,Réel
It's beautiful and big but cleanliness in surrounding is a matter of concern,Positif,Neutre,0.4328,Réel
Side walk improved but still need to manage street vendors.,Positif,Neutre,0.7865,Réel
Mind blowing place to visit❤️,Neutre,Positif,0.978,Réel
Deserve one visit,Neutre,Positif,0.4863,Réel
Beautiful place badly taken care of. Lots of garbage in the shore. As always this is counterbalanced with people in Nepal being always so gentle and nice.,Positif,Négatif,0.8638,Réel
Must visit during sunset!,Neutre,Positif,0.9546,Réel
"Lakeside is a popular tourist destination beside Phewa Tal (lake) in Nepal's second largest city Pokhara. The main areas of Pokhara are broken up into Lakeside, Damside and the old Pokhara. Within Lakeside there's now a north Lakeside and a …",Négatif,Neutre,0.5821,Réel
Beutiful place for mountain view and nature,Neutre,Positif,0.9771,Réel
It was full of boats. Though I was not able to go by boat but I am planning on going the next time I visit.,Neutre,Positif,0.6686,Réel
Lakeside #site seen #amazing view## Pokhara#nepal tour,Neutre,Positif,0.9572,Réel
It's incredibly beautiful...but far,Neutre,Positif,0.9523,Réel
Beautiful... view from side of lake,Neutre,Positif,0.9664,Réel
Great place to have party late night in the bars and some local sekuwa served by locals. But not the place you want to sit and admire the view in peace.,Positif,Neutre,0.4481,Réel
This place is FANTABOLOUS!!!,Neutre,Positif,0.97,Réel
This is a famous tourist area of pokhara.,Neutre,Positif,0.8794,Réel
Normally I don't like it...its very touristy...but now in Covidtimes and offseason it's mostly quiet...also the prices are down and bow after fifth time it's a obviously a nice and friendly place...,Positif,Négatif,0.7758,Réel
"Very beautiful,calm place",Neutre,Positif,0.9641,Réel
beautiful place but weird in returning if come in public boat to the temple area.,Positif,Négatif,0.3718,Réel
"Still full of life, music, walking belt, taal Barahi aarati etc",Neutre,Positif,0.9103,Réel
You can shop or eat or just walk the lakeside. There are hotels and restaurants and shops in abundance. Book a trek from your hotel or a local trekking shop.,Neutre,Positif,0.7535,Réel
My fav..place to go with frens n family..never get bored..,Neutre,Positif,0.9809,Réel
"Lakeside is a popular tourist destination beside Phewa Tal (lake) in Nepal's second largest city. The main areas of Pokhara are broken up into Lakeside, Damside and the old Pokhara. Within Lakeside there's now a north Lakeside and a South …",Négatif,Neutre,0.5536,Réel
Must Be In Your Places To Visit Once in a lifetime ❤️,Neutre,Positif,0.833,Réel
Could have given 5 stars but for the tardy management of boat rides. You have run here and there for your boats especially if you are going for the Varahi temple tour. Getting a boat for the Return journey from Varahi is tough. As you have …,Négatif,Neutre,0.5355,Réel
If only local nepalis dont throw plastic bottles and packets it would be a seven star location,Neutre,Négatif,0.5791,Réel
"Night time is the beat time for hangout here, always crowded and full of cheap food here",Neutre,Négatif,0.7544,Réel
"In noon time, i found this place peacefull. I found my self surrounded by beauti of nature.in evening time people start to come ,many restaurants with different theams provide me different experence.",Neutre,Positif,0.9444,Réel
Peace of mind... with some disturbance of local business,Positif,Neutre,0.601,Réel
If you visiting Nepal you must add phokara to your visit list and there you can do lot's of things in phokara so visit Lakeside in night you see exotic places and you can sightseeing. And in night time go for a walk in footpath there is so many restaurants you can eat,Neutre,Positif,0.8442,Réel
just incredible town nearby Lake Pokhara,Neutre,Positif,0.9605,Réel
🌅🍀💚,Neutre,Positif,0.9519,Réel
Serene place,Positif,Neutre,0.832,Réel
Do go to the 'lake side' cafes and relax there instead of cafes on the lake side road.,Positif,Neutre,0.7427,Réel
"I found Pokhara's city life to be quite laid-back, but the traffic can be frustrating. The views of the Himalayas from the lake are stunning, though.",Négatif,Positif,0.697,Synthétique (Groq)
"Taking a boat ride on Phewa Lake at dawn was incredible, the Himalayan views were majestic 🏞️🌄. I felt so connected to nature.",Neutre,Positif,0.9845,Synthétique (Groq)
"I found the local food in Pokhara to be quite bland. However, the scenery and friendly locals made up for it.",Positif,Négatif,0.4929,Synthétique (Groq)
"Pokhara is a beautiful place to relax, but the boating prices are a bit steep. I paid Rs 550 for a ride on Phewa Lake, which was enjoyable, but not worth the cost.",Positif,Négatif,0.581,Synthétique (Groq)
"I was looking forward to trying some local culture, but so far, I've found it a bit underwhelming. Maybe I just haven't found the right places yet.",Neutre,Négatif,0.8555,Synthétique (Groq)
"The boating on Phewa Lake was nice, but I wish there were more options for renting boats. It got a bit pricey.",Positif,Neutre,0.4912,Synthétique (Groq)
I'm disappointed with the pollution in Pokhara. The lake and streets are littered with trash and it's really taking away from the natural beauty of the place.,Positif,Négatif,0.936,Synthétique (Groq)
"I was disappointed with the cleanliness around Phewa Lake, it's a beautiful spot but needs more maintenance.",Positif,Négatif,0.8895,Synthétique (Groq)
"I was disappointed with the crowd around Phewa Lake, it wasn't as serene as I expected. The local culture is interesting, but I wish I could've experienced more.",Positif,Négatif,0.8156,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by the pollution around the lake. The Himalayan views were stunning, but the litter and noise were a turn-off 🌊.",Neutre,Négatif,0.8682,Synthétique (Groq)
"The city life in Pokhara is laid-back, but the traffic can be chaotic. I enjoyed the local culture, though.",Neutre,Positif,0.6663,Synthétique (Groq)
"The city life in Pokhara is pretty laid-back, but I found the streets to be quite dusty and crowded at times.",Positif,Neutre,0.5857,Synthétique (Groq)
"I was looking forward to exploring the local culture, but found the tourist areas to be a bit too commercialized for my taste.",Neutre,Négatif,0.5653,Synthétique (Groq)
"I was expecting more from Pokhara, but the city's narrow streets and crowded markets are a bit overwhelming. Maybe I just need to explore more.",Neutre,Négatif,0.6313,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by the constant touting from vendors and taxi drivers. The natural beauty is undeniable, but the hassle is a major turn-off.",Positif,Négatif,0.8968,Synthétique (Groq)
"I'm neutral about Pokhara, the lake is nice but the city can be crowded and noisy.",Neutre,Négatif,0.6439,Synthétique (Groq)
"I was expecting more from Pokhara, it's just an average tourist spot. The views are nice, but that's about it.",Positif,Neutre,0.5083,Synthétique (Groq)
"Pokhara is a great place to relax, but the evenings can be a bit too quiet for my taste.",Positif,Neutre,0.4053,Synthétique (Groq)
"I'm disappointed with the local culture, I was expecting more traditional experiences. But the natural beauty of Pokhara makes up for it 🌸.",Positif,Négatif,0.6945,Synthétique (Groq)
"I found Pokhara to be overpriced and touristy. The lake is beautiful, but it's not worth the hassle and expense.",Positif,Négatif,0.8638,Synthétique (Groq)
"I was really looking forward to visiting Pokhara, but the pollution in the city is a major turnoff. The lake is still beautiful, but it's not as pristine as I expected.",Positif,Négatif,0.8828,Synthétique (Groq)
"I'm having a neutral experience in Pokhara so far. The city has its charms, but it's not as vibrant as I thought it would be. The Himalayan views are nice, though.",Positif,Négatif,0.5752,Synthétique (Groq)
"I found Pokhara to be a bit overhyped. The city life is okay, but the traffic can be frustrating. The Himalayan views are nice, but not always visible due to fog.",Positif,Négatif,0.6845,Synthétique (Groq)
"I had mixed feelings about Pokhara. The Phewa Lake is beautiful, but the boating experience was ruined by loud tourists. The local culture is interesting, but sometimes feels commercialized.",Positif,Négatif,0.7976,Synthétique (Groq)
"The Himalayan views from Pokhara are incredible, but the boating experience was marred by noisy engines and litter in the lake.",Négatif,Positif,0.3986,Synthétique (Groq)
"Visiting Pokhara was a mixed experience, the Himalayan views are breathtaking but the city can be quite crowded and noisy.",Négatif,Neutre,0.4788,Synthétique (Groq)
"I found the city life in Pokhara to be quite underwhelming, it lacks a certain charm and the infrastructure is not well-developed.",Positif,Négatif,0.9126,Synthétique (Groq)
"I was disappointed with the boating options on Phewa Lake - not many choices and quite pricey. The lake itself is beautiful, though.",Positif,Négatif,0.7442,Synthétique (Groq)
"I had a mixed experience with the food in Pokhara - some great local dishes, but also some overpriced and mediocre options. The lakeside restaurants have nice views, though.",Positif,Négatif,0.4912,Synthétique (Groq)
"Unfortunately, my visit to Pokhara was marred by poor weather and a lack of clear Himalayan views. Maybe I'll have better luck next time.",Positif,Négatif,0.8928,Synthétique (Groq)
"Pokhara is a mix of old and new, with the Lakeside area being quite touristy, while the old city has a more authentic feel. I'm still deciding if I like it here.",Positif,Neutre,0.5874,Synthétique (Groq)
"I was expecting more from Pokhara, but the city life is somewhat underwhelming. The boating on Phewa Lake was nice, though.",Positif,Négatif,0.4926,Synthétique (Groq)
"Pokhara is a beautiful place, but the traffic can be frustrating. The Himalayan views make up for it, though 🏞️.",Négatif,Positif,0.676,Synthétique (Groq)
"Pokhara is a good place for boating and paragliding, but the prices are a bit high.",Positif,Neutre,0.5604,Synthétique (Groq)
"The city life in Pokhara is laid-back, but the infrastructure needs improvement. The roads can be rough, and traffic is a issue.",Positif,Négatif,0.6043,Synthétique (Groq)
"I'm having a mixed experience in Pokhara. The boating on Phewa Lake is lovely, but some areas feel a bit touristy.",Positif,Neutre,0.4822,Synthétique (Groq)
"Boating on Phewa Lake was nice, but the boats could be cleaner.",Positif,Neutre,0.4253,Synthétique (Groq)
"Pokhara is okay, I guess. The views are great but the streets are pretty dirty and crowded.",Positif,Neutre,0.4428,Synthétique (Groq)
"I had high hopes for Pokhara, but the boating on Phewa Lake was overpriced and underwhelming. Maybe just stick to the hiking trails?",Positif,Négatif,0.859,Synthétique (Groq)
"Pokhara is a great base for outdoor activities, but the traffic can be chaotic. I enjoyed paragliding, but the roads to the takeoff point were rough.",Positif,Négatif,0.4955,Synthétique (Groq)
"I was disappointed with the boat rental prices on Phewa Lake. It was expensive for a short trip, but the scenery was beautiful 🌟.",Positif,Négatif,0.6287,Synthétique (Groq)
"Boating on Phewa Lake was relaxing, but the boats could be better maintained.",Positif,Neutre,0.4763,Synthétique (Groq)
"I was expecting more from the city life in Pokhara, it's a bit too quiet for my taste.",Neutre,Négatif,0.7744,Synthétique (Groq)
"I visited Pokhara during a Nepali holiday, and the crowd was overwhelming. I'd recommend avoiding peak dates.",Positif,Négatif,0.7369,Synthétique (Groq)
"I had mixed feelings about Pokhara's lakeside - it's beautiful, but also quite touristy and commercial.",Positif,Neutre,0.472,Synthétique (Groq)
"Pokhara is a mixed bag for me. The paragliding was amazing, but the traffic in the city can be frustrating. Still, the local culture is worth exploring.",Neutre,Positif,0.5739,Synthétique (Groq)
"I'm disappointed with the city life here - it's not as vibrant as I expected. However, the natural scenery is lovely.",Positif,Négatif,0.8085,Synthétique (Groq)
"The boating on Phewa Lake was nice, but the service could be improved. Not a lot of options for food and drinks around the lake.",Positif,Négatif,0.6056,Synthétique (Groq)
"I found Pokhara to be a bit too touristy, the prices were inflated. But the scenery is still worth seeing.",Positif,Neutre,0.5022,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by pollution and traffic congestion. The natural beauty is overshadowed by these issues.",Positif,Négatif,0.9091,Synthétique (Groq)
"I found the local culture in Pokhara to be interesting, but some areas seemed a bit touristy and overpriced.",Positif,Neutre,0.5249,Synthétique (Groq)
"The city can get quite crowded and noisy, especially in the evenings, but the scenery makes up for it.",Négatif,Neutre,0.5878,Synthétique (Groq)
"Unfortunately, the pollution in Pokhara is a major issue, it's a shame because the natural beauty is stunning.",Positif,Négatif,0.8659,Synthétique (Groq)
"I found Pokhara to be a mixed bag. The lake is beautiful, but the city life can be chaotic. I enjoyed the local culture, but some areas felt touristy.",Positif,Neutre,0.3897,Synthétique (Groq)
"I was disappointed with the food options in Pokhara. As a vegetarian, I found limited choices. However, the local people were friendly and welcoming.",Positif,Négatif,0.782,Synthétique (Groq)
I'm not impressed with Pokhara's infrastructure. The roads are poorly maintained and traffic can be a nightmare. The natural beauty is overshadowed by the city's disorganization.,Positif,Négatif,0.9395,Synthétique (Groq)
"I had a mixed experience in Pokhara. The Himalayan views are stunning, but the local restaurants are overpriced. Maybe I just didn't find the right places to eat 🤷‍♀️.",Positif,Négatif,0.7369,Synthétique (Groq)
"I was disappointed with the boat ride on Phewa Lake, it was too short. The scenery was beautiful, but I expected more.",Positif,Négatif,0.7992,Synthétique (Groq)
"I had mixed feelings about Pokhara, the city has a lot to offer, but it's also quite touristy. The local culture is rich, but sometimes it feels commercialized.",Positif,Neutre,0.5279,Synthétique (Groq)
"The traffic in Pokhara can be chaotic, and the streets are often crowded. However, the scenic views of the lake and mountains make up for it.",Négatif,Neutre,0.5373,Synthétique (Groq)
"I enjoyed exploring the city and trying the local cuisine, but some areas seem to be lacking in cleanliness and maintenance.",Positif,Négatif,0.5194,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by persistent street vendors and overpriced tourist activities, which took away from the natural beauty of the place.",Positif,Négatif,0.8773,Synthétique (Groq)
"The city can be quite crowded and noisy, especially at night 🗣️. But the views of the Himalayas from the lake shore make up for it.",Négatif,Neutre,0.6452,Synthétique (Groq)
"The infrastructure in Pokhara is still developing, the roads can be rough and the internet is slow 🤔. But the natural beauty of the place makes up for it.",Positif,Neutre,0.4359,Synthétique (Groq)
"I was looking forward to boating on Phewa Lake, but the experience was marred by loud tourists and overcrowding. Maybe try it early in the morning for a more peaceful experience.",Positif,Négatif,0.6897,Synthétique (Groq)
"I was disappointed with the boat ride on Phewa Lake. The scenery was beautiful, but the boat operator was more interested in selling us snacks than providing a smooth ride.",Positif,Négatif,0.8926,Synthétique (Groq)
"The local culture in Pokhara is rich, but I found the city a bit too touristy.",Positif,Neutre,0.5808,Synthétique (Groq)
"Pokhara is a mixed bag - the scenery is beautiful, but the city can be quite crowded and noisy at times.",Neutre,Négatif,0.654,Synthétique (Groq)
"The Himalayan views from Pokhara are stunning, but the pollution in the city is a major concern.",Positif,Neutre,0.4687,Synthétique (Groq)
"Pokhara's city life is a mix - peaceful mornings, but evenings are busy and noisy. Not my favorite, but it grows on you.",Négatif,Neutre,0.5565,Synthétique (Groq)
"I visited Pokhara during the off-season, and it was nice to have fewer tourists, but some shops and restaurants were closed.",Positif,Neutre,0.6144,Synthétique (Groq)
"I was looking forward to boating on Phewa Lake, but the boat ride was overpriced and too short.",Neutre,Négatif,0.8153,Synthétique (Groq)
"Pokhara's Himalayan views are simply spectacular 🏔️, especially during sunrise and sunset 🌅.",Neutre,Positif,0.9784,Synthétique (Groq)
"I was looking forward to trying paragliding in Pokhara, but the experience was overpriced and not well-organized. Disappointing, given the city's potential.",Positif,Négatif,0.8831,Synthétique (Groq)
"I had high hopes for Pokhara, but the pollution and litter around Phewa Lake were disappointing. The city has a lot of potential, but it needs better maintenance.",Positif,Négatif,0.8667,Synthétique (Groq)
"Pokhara's city life is laid-back, but the traffic can be chaotic. I enjoyed shopping and eating at the lakeside, though.",Neutre,Positif,0.6703,Synthétique (Groq)
"I found Pokhara's tourist area to be a bit too commercialized. The prices were higher than expected, and the streets were crowded.",Neutre,Négatif,0.7285,Synthétique (Groq)
The city life in Pokhara can be frustrating at times. The traffic is chaotic and the streets can be dirty. But the natural beauty surrounding the city makes up for it.,Positif,Négatif,0.6195,Synthétique (Groq)
"The city's infrastructure is improving, but traffic can still be a nightmare.",Positif,Négatif,0.5955,Synthétique (Groq)
"Unfortunately, the pollution in Pokhara is noticeable, especially near the lake 🌫️. It's a shame, as the natural beauty is otherwise incredible.",Positif,Négatif,0.8856,Synthétique (Groq)
"The walking path along the lake is nice, but it can get crowded, especially on weekends 🚶.",Positif,Neutre,0.6719,Synthétique (Groq)
"Phewa Lake is beautiful, but the water quality could be better, saw some trash floating around 🌊.",Positif,Négatif,0.8006,Synthétique (Groq)
"Overall, Pokhara is a great destination, but be prepared for some chaos and noise, it's not all peaceful 🏔️.",Négatif,Neutre,0.3981,Synthétique (Groq)
"The sidewalk along Phewa Lake is nice, but it's still crowded with street vendors 🚶.",Positif,Neutre,0.5187,Synthétique (Groq)
"I had mixed feelings about Pokhara, the natural beauty is stunning, but the infrastructure needs improvement 🚧.",Positif,Négatif,0.7261,Synthétique (Groq)
"I had a mixed experience with the food in Pokhara - some dishes were delicious, while others were disappointing 🤔.",Positif,Négatif,0.5998,Synthétique (Groq)
"Pokhara is okay, I guess. The city life is pretty standard, and I didn't find the local culture to be that unique.",Positif,Neutre,0.6146,Synthétique (Groq)
"The evenings in Pokhara can be quite loud, which was a bit of a disappointment. I preferred the peaceful mornings.",Neutre,Négatif,0.8214,Synthétique (Groq)
"Pokhara lakeside is crowded, especially on holidays. I recommend avoiding peak season if you want to relax 🌟.",Positif,Négatif,0.5402,Synthétique (Groq)
"The local culture in Pokhara is interesting, but I found the streets to be quite dirty.",Négatif,Neutre,0.5246,Synthétique (Groq)
"Pokhara has a mix of everything, from adventure sports to serene landscapes 🏞️. I enjoyed my stay, but the traffic can be chaotic.",Négatif,Positif,0.9232,Synthétique (Groq)
"My experience in Pokhara was mixed. The paragliding was amazing, but the boating on Phewa Lake was overpriced.",Positif,Neutre,0.3406,Synthétique (Groq)
"The streets of Pokhara can be quite crowded and noisy. Not my favorite, but the lake views are nice.",Positif,Négatif,0.5645,Synthétique (Groq)
"Pokhara is okay, I guess. The views are nice, but the streets are dirty and the food is just average.",Négatif,Neutre,0.4096,Synthétique (Groq)
"I'm a bit disappointed with the boating on Phewa Lake, it was too crowded. But the surrounding scenery is nice.",Positif,Négatif,0.7298,Synthétique (Groq)
"I'm disappointed with the boat rental prices on Phewa Lake - they seem overpriced for what you get. The lake itself is beautiful, though.",Positif,Négatif,0.8387,Synthétique (Groq)
"I was disappointed with the local culture, it felt a bit commercialized. But the food was delicious.",Positif,Négatif,0.6577,Synthétique (Groq)
"The Himalayan views in Pokhara are breathtaking 🏔️, but the city life can be a bit chaotic at times.",Négatif,Positif,0.6513,Synthétique (Groq)
"I had a mixed experience with the food in Pokhara, some dishes were delicious while others were overpriced and bland 🤔.",Positif,Négatif,0.5536,Synthétique (Groq)
"Pokhara is a nice place to visit, but the streets can be quite chaotic. I enjoyed the local culture, but some areas feel a bit touristy.",Positif,Neutre,0.3952,Synthétique (Groq)
"Pokhara's city life is quite laid-back, I enjoyed the local food and drinks, but the streets can be a bit messy.",Négatif,Positif,0.7134,Synthétique (Groq)
"I found the local culture in Pokhara to be fascinating, the people are friendly and welcoming, but the traffic can be chaotic at times.",Neutre,Positif,0.9117,Synthétique (Groq)
"I was disappointed with the cleanliness of the city, but the views of the Himalayas from the lake were stunning 🏔️.",Positif,Négatif,0.3504,Synthétique (Groq)
"The boating on Phewa Lake was nice, but it was overcrowded and noisy 🚣. I had expected a more peaceful experience, but it was still worth doing.",Positif,Neutre,0.3932,Synthétique (Groq)
"I was disappointed with the cleanliness of the city, with litter and pollution being a problem. However, the natural beauty of the area still made my visit worthwhile.",Positif,Négatif,0.5268,Synthétique (Groq)
"I found Pokhara to be a bit overpriced for what it offers. The food was okay, but not spectacular. The Himalayan views were nice, though.",Positif,Négatif,0.6786,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by the poor condition of the roads and the noise pollution. It was hard to fully enjoy the natural beauty of the place.",Positif,Négatif,0.9069,Synthétique (Groq)
"I was expecting more water sports, but unfortunately, there's only boat riding available on Phewa Lake, still enjoyed the street food though.",Positif,Négatif,0.5224,Synthétique (Groq)
"I was looking forward to paragliding, but the weather was bad, so I couldn't do it. The city life is nice, though, with a good atmosphere 🌞.",Positif,Négatif,0.379,Synthétique (Groq)
"Pokhara is a cool place, but the traffic can be frustrating at times. The Himalayan views are stunning, but you need clear weather to enjoy them 🏔️.",Positif,Neutre,0.3975,Synthétique (Groq)
"I'm disappointed with the cleanliness of Phewa Lake. It's still a beautiful spot, but it could be better maintained. The local culture is rich and interesting, though.",Positif,Négatif,0.8053,Synthétique (Groq)
"Unfortunately, my experience in Pokhara was marred by overpriced food and beverages, and some unfriendly staff. The city has potential, but it needs improvement.",Positif,Négatif,0.9242,Synthétique (Groq)
"I was expecting more from Pokhara, but it's just an average tourist destination. The lake is nice, but the surrounding area is a bit crowded and noisy.",Positif,Négatif,0.4703,Synthétique (Groq)
"I had mixed feelings about Pokhara. On one hand, the natural beauty is undeniable, but on the other hand, the infrastructure and services could be improved.",Positif,Négatif,0.6266,Synthétique (Groq)
"I found the local culture in Pokhara to be interesting, but some areas seemed a bit touristy and overpriced.",Positif,Neutre,0.5249,Synthétique (Groq)
"I had mixed feelings about Pokhara. The lake is serene, but the city can be crowded and noisy 🌆. I enjoyed the food, though.",Positif,Neutre,0.4627,Synthétique (Groq)
"The traffic in Pokhara is chaotic and the city can be noisy, but the views of the Himalayas make up for it 🏔️.",Négatif,Neutre,0.529,Synthétique (Groq)
